policy_id,country,regulator,payer_name,plan_tier,currency,annual_coverage_limit_local,deductible_local,copay_percent,network,outpatient_coverage,inpatient_coverage,pharmacy_coverage,maternity_waiting_period_months,preexisting_waiting_period_months,cross_border_care,phi_encrypted_at_rest,phi_encrypted_in_transit,access_controls_role_based,audit_logs_enabled,breach_notification_window_days,data_retention_years,minimum_necessary_policy,business_associate_agreements,eclaims_standard,notes
POL-DBE1CFFD4C,Saudi Arabia,CCHI,Bupa Arabia,Basic,SAR,1488665,2749,25,Exclusive,Yes,Yes,No,12,6,Yes,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-486AA5699D,Saudi Arabia,CCHI,Bupa Arabia,Standard,SAR,433199,1011,10,Basic,Yes,Yes,Yes,12,12,No,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-CBC3BC28BE,Saudi Arabia,CCHI,Bupa Arabia,Enhanced,SAR,1527248,1203,25,Exclusive,Yes,Yes,Yes,9,6,No,Yes,Yes,Yes,Yes,96,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-3A90852EAE,Saudi Arabia,CCHI,Bupa Arabia,Premium,SAR,200232,1734,25,Exclusive,Yes,Yes,Yes,9,24,Yes,Yes,Yes,Yes,Yes,72,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-C22123AFC9,Saudi Arabia,CCHI,Tawuniya,Basic,SAR,893698,2836,25,Exclusive,Yes,Yes,Yes,12,12,No,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-1D81FAB4C1,Saudi Arabia,CCHI,Tawuniya,Standard,SAR,1068448,320,0,Basic,Yes,Yes,Yes,6,0,Yes,Yes,Yes,Yes,Yes,96,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-F9929B0536,Saudi Arabia,CCHI,Tawuniya,Enhanced,SAR,899820,875,20,Wide,Yes,Yes,No,12,12,No,Yes,Yes,Yes,Yes,96,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-A861AA5F11,Saudi Arabia,CCHI,Tawuniya,Premium,SAR,311243,1721,30,Exclusive,Yes,Yes,No,9,0,No,Yes,Yes,Yes,Yes,96,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-F4D16A236C,Saudi Arabia,CCHI,MEDGULF,Basic,SAR,1492150,750,25,Wide,Yes,Yes,Yes,0,12,No,Yes,Yes,Yes,Yes,72,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-1C7BACC6B7,Saudi Arabia,CCHI,MEDGULF,Standard,SAR,349313,2103,15,Exclusive,Yes,Yes,Yes,6,6,No,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-2D63CF7CF1,Saudi Arabia,CCHI,MEDGULF,Enhanced,SAR,1555950,2348,25,Wide,Yes,Yes,Yes,0,24,No,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-8F6BB08434,Saudi Arabia,CCHI,MEDGULF,Premium,SAR,1702664,657,20,Wide,Yes,Yes,Yes,9,12,No,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-B7A536702F,Saudi Arabia,CCHI,Daman / Thiqa,Basic,SAR,1730453,788,30,Basic,Yes,Yes,Yes,9,12,Yes,Yes,Yes,Yes,Yes,72,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-CB7C0505C3,Saudi Arabia,CCHI,Daman / Thiqa,Standard,SAR,182163,184,20,Exclusive,Yes,Yes,Yes,12,24,No,Yes,Yes,Yes,Yes,72,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-7B946412A7,Saudi Arabia,CCHI,Daman / Thiqa,Enhanced,SAR,790080,421,0,Exclusive,Yes,Yes,No,12,0,No,Yes,Yes,Yes,Yes,72,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-4747251289,Saudi Arabia,CCHI,Daman / Thiqa,Premium,SAR,1026611,2040,30,Exclusive,Yes,Yes,Yes,6,0,No,Yes,Yes,Yes,Yes,48,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-FBF2F8E826,United Arab Emirates,DOH/DHA/MOHAP,Bupa Arabia,Basic,AED,186022,881,20,Exclusive,Yes,Yes,No,9,24,No,Yes,Yes,Yes,Yes,96,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-B96E043B51,United Arab Emirates,DOH/DHA/MOHAP,Bupa Arabia,Standard,AED,746389,2076,20,Basic,Yes,Yes,Yes,6,6,Yes,Yes,Yes,Yes,Yes,48,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-A194180D65,United Arab Emirates,DOH/DHA/MOHAP,Bupa Arabia,Enhanced,AED,313056,444,0,Exclusive,Yes,Yes,Yes,6,12,No,Yes,Yes,Yes,Yes,48,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-3C1054A107,United Arab Emirates,DOH/DHA/MOHAP,Bupa Arabia,Premium,AED,528800,154,20,Basic,Yes,Yes,Yes,0,12,Yes,Yes,Yes,Yes,Yes,96,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-F34279271E,United Arab Emirates,DOH/DHA/MOHAP,Tawuniya,Basic,AED,1843979,1547,10,Exclusive,Yes,Yes,Yes,6,0,Yes,Yes,Yes,Yes,Yes,48,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-C26A8DDFA2,United Arab Emirates,DOH/DHA/MOHAP,Tawuniya,Standard,AED,1828373,1347,15,Wide,Yes,Yes,Yes,0,24,No,Yes,Yes,Yes,Yes,48,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-C48A0426D8,United Arab Emirates,DOH/DHA/MOHAP,Tawuniya,Enhanced,AED,172261,812,20,Wide,Yes,Yes,Yes,6,6,Yes,Yes,Yes,Yes,Yes,72,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-1765EF90B0,United Arab Emirates,DOH/DHA/MOHAP,Tawuniya,Premium,AED,1743482,400,20,Exclusive,Yes,Yes,Yes,12,0,Yes,Yes,Yes,Yes,Yes,96,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-FB0A273D98,United Arab Emirates,DOH/DHA/MOHAP,MEDGULF,Basic,AED,1452131,2906,25,Exclusive,Yes,Yes,Yes,12,6,Yes,Yes,Yes,Yes,Yes,48,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-97098AE3E3,United Arab Emirates,DOH/DHA/MOHAP,MEDGULF,Standard,AED,600345,2644,15,Basic,Yes,Yes,No,12,6,Yes,Yes,Yes,Yes,Yes,48,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-05220650FE,United Arab Emirates,DOH/DHA/MOHAP,MEDGULF,Enhanced,AED,1849935,660,10,Wide,Yes,Yes,Yes,0,12,Yes,Yes,Yes,Yes,Yes,96,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-EC6E3B26C3,United Arab Emirates,DOH/DHA/MOHAP,MEDGULF,Premium,AED,699936,728,30,Exclusive,Yes,Yes,Yes,9,0,Yes,Yes,Yes,Yes,Yes,48,5,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-46091A0985,United Arab Emirates,DOH/DHA/MOHAP,Daman / Thiqa,Basic,AED,1187601,21,25,Wide,Yes,Yes,Yes,0,6,Yes,Yes,Yes,Yes,Yes,48,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-AE6C9E4CDD,United Arab Emirates,DOH/DHA/MOHAP,Daman / Thiqa,Standard,AED,1361828,1393,25,Exclusive,Yes,Yes,Yes,0,6,Yes,Yes,Yes,Yes,Yes,48,7,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
POL-6C3B953F6C,United Arab Emirates,DOH/DHA/MOHAP,Daman / Thiqa,Enhanced,AED,1599692,2110,25,Basic,Yes,Yes,No,12,12,Yes,Yes,Yes,Yes,Yes,96,10,Yes,Yes,National eClaims standard / HL7-FHIR compatible,"Illustrative averages; confirm exact benefits, currency, and regulator rules per payer & plan."
